City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,vangaindrano,-23.35,47.6,296.58,91,100,3.91,MG,1712587090
328,hafnarfjordur,64.0671,-21.9377,278.15,52,20,7.2,IS,1712587090
329,new plymouth,-39.0667,174.0833,286.1,85,77,3.53,NZ,1712587090
330,vorkuta,67.5,64.0,260.24,94,100,5.14,RU,1712587017
331,namibe,-15.1961,12.1522,297.45,72,100,3.72,AO,1712587091
332,valparaiso,-33.0393,-71.6273,292.12,81,100,2.06,CL,1712587092
333,touros,-5.1989,-35.4608,303.2,70,100,5.75,BR,1712586847
334,tateyama,34.9833,139.8667,290.98,97,100,1.31,JP,1712587093
335,lagos,6.5833,3.75,306.33,59,96,4.22,NG,1712586961
336,lethbridge,49.7,-112.8186,276.69,60,20,7.2,CA,1712586854
337,fuerte olimpo,-21.0415,-57.8738,305.81,55,100,2.37,PY,1712587094
338,forster,-32.1667,152.5167,288.87,100,0,2.73,AU,1712587095
339,coyhaique,-45.5752,-72.0662,279.49,81,75,5.66,CL,1712586985
340,zaragoza,41.6561,-0.8773,300.07,22,20,6.17,ES,1712587000
341,fallon,39.4735,-118.7774,275.88,86,75,0.0,US,1712587096
342,lys'va,58.1086,57.8053,274.13,97,100,4.43,RU,1712586869
343,berdigestyakh,62.0989,126.6992,263.98,97,100,1.09,RU,1712587097
344,piti village,13.4626,144.6933,300.64,82,75,5.66,GU,1712587097
345,afua,-0.1567,-50.3867,302.63,69,82,2.23,BR,1712587097
346,bonthe,7.5264,-12.505,304.92,59,77,6.44,SL,1712587098
347,lompoc,34.6391,-120.4579,283.06,60,0,4.12,US,1712587098
348,mukalla,14.5425,49.1242,300.86,67,22,2.4,YE,1712587099
349,mana,5.6592,-53.7767,302.44,66,97,4.36,GF,1712587099
350,crucecita,-28.95,-58.9833,298.46,57,22,1.25,AR,1712587099
351,ust-tsilma,65.441,52.1498,268.49,90,98,1.34,RU,1712587100
352,puri,19.8,85.85,301.44,59,89,1.04,IN,1712587100
353,polygyros,40.3744,23.4383,293.33,56,1,2.09,GR,1712587100
354,hatillo,18.4863,-66.8254,305.04,77,1,1.79,PR,1712587101
355,nuuk,64.1835,-51.7216,271.49,69,20,2.06,GL,1712586960
356,alice springs,-23.7,133.8833,294.94,30,93,2.24,AU,1712587102
357,tamandare,-8.7597,-35.1047,303.37,63,43,3.55,BR,1712587021
358,mykhaylivka,47.2724,35.2224,294.47,37,21,1.55,UA,1712587103
359,tepetlaoxtoc de hidalgo,19.5833,-98.8167,292.57,23,1,2.66,MX,1712587103
360,juticalpa,14.65,-86.2,304.23,62,100,2.95,HN,1712587103
361,bamboo flat,11.7,92.7167,303.2,70,20,1.03,IN,1712587104
362,gobabis,-22.45,18.9667,300.39,7,0,8.94,NA,1712587104
